DATE,T2M,TMIN,TMAX,TDEW,RH2M,RAIN,WIND,SRAD,Evapotranspiration
1981-03-19,29.6,26.1,34.7,22.4,67.9,0.0,1.6,,3.2192
1981-03-20,30.0,26.0,36.2,21.8,64.6,0.1,2.3,,2.745
1981-03-21,29.6,26.4,34.3,22.2,66.6,0.0,1.8,,3.1639
1981-03-22,28.9,26.2,33.2,22.7,70.4,0.6,1.9,,3.2772
1981-03-23,29.4,26.1,34.0,21.8,65.7,0.4,2.6,,3.1364
1981-03-24,29.8,26.5,35.2,21.6,63.3,2.8,2.0,,2.6693
1981-03-25,30.0,25.9,35.7,21.5,62.7,0.2,2.0,,2.8964
1981-03-26,30.3,26.4,35.8,21.8,62.6,0.4,1.9,,3.1029
1981-03-27,29.7,26.3,35.3,22.4,66.9,7.3,1.6,,3.3055
1981-03-28,30.0,26.1,36.0,22.6,67.6,1.9,1.4,,2.775
1981-03-29,30.4,26.0,36.9,22.0,65.2,1.1,1.6,,2.5728
1981-03-30,30.4,25.4,37.1,21.6,64.0,0.3,1.9,,2.7967
1981-03-31,30.1,25.7,36.4,22.5,67.0,0.1,2.6,,2.7229
1981-04-01,30.3,26.3,36.5,22.8,66.8,0.5,2.9,,2.6299
1981-04-02,30.4,26.5,36.5,22.8,66.9,6.6,2.4,,2.6637
1981-04-03,30.4,26.6,36.1,22.8,66.8,0.1,2.3,,2.7648
1981-04-04,30.0,26.4,35.3,23.3,69.4,0.0,2.5,,2.7962
1981-04-05,30.3,26.4,36.2,22.7,66.2,0.0,2.7,,2.6109
1981-04-06,30.5,26.5,36.4,22.3,64.0,0.0,2.8,,2.5532
1981-04-07,30.4,26.8,36.2,22.7,65.5,0.0,2.6,,2.7829
1981-04-08,31.5,26.5,38.6,20.8,58.2,0.1,1.6,,3.256
1981-04-09,31.4,26.1,39.2,19.0,56.6,0.1,1.4,,3.2893
1981-04-10,30.9,26.3,38.4,21.2,61.5,0.0,2.6,,2.7005
1981-04-11,31.2,25.9,39.0,21.4,61.7,0.5,2.1,,2.8844
1981-04-12,31.1,26.9,38.4,22.6,65.4,13.4,1.7,,3.6687
1981-04-13,29.0,26.8,33.6,24.5,78.4,12.7,1.8,,2.8647
1981-04-14,28.5,26.1,32.4,24.3,79.6,3.4,2.4,,2.7054
1981-04-15,28.6,26.2,32.4,24.1,77.9,1.9,2.4,,2.6732
1981-04-16,28.4,26.2,32.7,23.8,77.8,2.0,2.1,,3.4068
1981-04-17,28.8,25.2,34.2,22.6,71.6,0.1,2.6,,3.251
1981-04-18,28.7,25.9,33.1,23.0,73.0,1.7,2.4,,2.6854
1981-04-19,28.9,25.6,33.6,23.1,72.4,0.4,2.4,,2.4302
1981-04-20,28.7,25.8,33.0,23.4,74.5,4.3,2.6,,2.5413
1981-04-21,28.6,25.6,33.0,23.0,73.3,0.9,2.6,,2.6183
1981-04-22,29.1,25.8,33.9,23.2,72.2,0.3,2.6,,2.8581
1981-04-23,29.7,26.1,35.5,23.3,71.2,1.4,2.3,,3.4106
1981-04-24,30.2,25.8,36.6,22.7,68.3,0.7,2.0,,3.2203
1981-04-25,29.9,25.9,35.9,23.1,70.7,12.9,1.7,,3.0339
1981-04-26,28.9,25.9,33.7,23.5,74.7,7.3,1.7,,3.3844
1981-04-27,29.6,25.5,35.4,23.1,71.4,7.5,1.6,,2.849
1981-04-28,29.0,26.2,33.7,23.5,74.4,4.7,1.6,,2.8976
1981-04-29,27.8,26.0,30.4,24.0,80.5,0.9,1.5,,2.9548
1981-04-30,27.8,25.9,30.4,24.0,80.7,3.9,1.3,,3.1801
1981-05-01,29.4,26.1,34.5,23.4,72.6,5.2,1.1,,3.4971
1981-05-02,29.1,26.4,33.8,24.0,75.9,3.7,1.6,,3.3343
1981-05-03,27.8,26.3,30.3,24.5,83.1,4.8,1.7,,3.2446
1981-05-04,27.8,25.7,31.0,23.8,79.9,12.5,2.2,,3.413
1981-05-05,27.1,25.3,29.8,23.3,80.3,3.4,2.6,,3.3001
1981-05-06,27.6,25.3,31.1,23.2,78.0,11.0,2.3,,3.0592
1981-05-07,27.8,24.2,32.4,22.1,72.8,1.9,1.8,,2.887
1981-05-08,27.7,25.9,30.1,24.4,82.7,11.5,1.8,,3.4029
1981-05-09,27.6,25.9,30.3,24.4,82.9,4.1,2.0,,2.9701
1981-05-10,27.6,26.0,30.4,24.2,81.9,3.6,2.1,,3.0891
1981-05-11,28.3,25.8,32.1,23.7,77.2,5.6,2.7,,2.97
1981-05-12,28.1,25.4,32.0,23.2,76.1,3.8,2.4,,3.2466
1981-05-13,28.6,25.1,33.0,23.0,73.6,0.4,2.9,,2.9455
1981-05-14,28.3,25.5,32.5,22.6,72.6,0.0,2.8,,2.6991
1981-05-15,28.4,24.7,33.2,22.2,70.8,0.8,2.8,,2.3801
1981-05-16,28.6,26.3,32.2,23.8,76.2,8.0,3.3,,2.7172
1981-05-17,27.4,26.3,29.2,24.5,84.5,1.2,2.7,,2.8958
1981-05-18,27.6,25.6,30.4,23.7,80.1,0.9,3.1,,2.7054
1981-05-19,27.6,26.1,29.4,24.3,82.4,1.7,3.4,,2.2239
1981-05-20,28.3,26.4,31.4,24.4,80.2,0.7,3.1,,2.7705
1981-05-21,28.9,26.0,32.7,23.9,75.3,0.1,3.3,,2.9433
1981-05-22,28.7,25.8,32.7,23.3,73.9,0.3,2.6,,2.7838
1981-05-23,28.3,25.5,32.4,23.2,75.2,0.0,2.7,,2.4386
1981-05-24,28.4,25.3,33.0,22.9,73.5,0.0,2.8,,2.5905
1981-05-25,28.7,25.2,33.4,22.4,70.8,0.0,2.4,,3.138
1981-05-26,28.4,25.7,32.6,22.8,73.1,0.0,2.2,,2.8968
1981-05-27,28.8,25.3,34.1,23.1,72.9,1.7,2.6,,2.8584
1981-05-28,28.0,26.0,31.2,24.4,81.4,6.9,2.8,,3.622
1981-05-29,26.6,25.2,28.6,24.4,87.8,16.8,3.6,,3.3027
1981-05-30,26.2,24.8,29.0,23.6,86.1,26.2,3.0,,1.746
1981-05-31,26.5,24.3,29.5,23.4,84.1,5.8,1.9,,2.0556
1981-06-01,26.6,25.3,28.9,24.1,86.3,27.0,3.7,,2.0175
1981-06-02,26.7,25.3,28.3,24.0,85.0,23.9,2.4,,2.411
1981-06-03,26.4,25.0,28.2,23.8,86.1,40.3,2.5,,1.8112
1981-06-04,26.4,24.7,28.4,24.0,87.1,62.1,4.3,,1.7239
1981-06-05,26.1,24.6,28.1,24.0,88.1,74.7,3.8,,1.5958
1981-06-06,26.2,24.5,28.8,23.4,84.4,38.4,3.4,,1.7576
1981-06-07,26.2,24.7,28.3,24.0,87.4,45.7,3.5,,1.9981
1981-06-08,26.6,25.0,28.9,24.0,85.8,23.5,3.0,,1.8433
1981-06-09,26.5,24.7,28.7,24.2,87.2,20.3,2.9,,1.7752
1981-06-10,26.4,24.4,28.8,24.1,87.4,8.4,3.1,,2.2939
1981-06-11,26.4,24.6,28.6,23.8,85.8,10.4,3.3,,2.1284
1981-06-12,25.6,24.7,26.7,23.8,90.3,79.7,3.8,,1.6403
1981-06-13,25.8,24.8,27.1,23.9,89.6,40.5,4.1,,1.6454
1981-06-14,25.7,24.2,27.8,23.2,86.4,33.0,3.9,,1.6235
1981-06-15,25.0,23.8,26.6,22.7,87.0,6.9,3.6,,1.8465
1981-06-16,25.6,24.0,27.4,23.6,88.8,30.1,4.1,,1.9238
1981-06-17,25.8,24.6,27.4,24.0,89.4,75.4,3.8,,1.4487
1981-06-18,25.7,24.6,27.7,23.8,89.5,22.9,4.3,,1.9145
1981-06-19,25.9,24.5,27.6,24.0,89.1,19.0,4.1,,1.8642
1981-06-20,26.4,25.2,28.3,24.5,89.4,17.1,4.4,,1.8586
1981-06-21,26.2,25.1,28.0,24.4,89.5,19.8,4.4,,1.7545
1981-06-22,25.1,24.3,25.8,23.6,91.1,13.0,4.6,,2.0195
1981-06-23,25.0,23.4,27.2,22.9,88.2,18.3,4.1,,2.4331
1981-06-24,25.0,23.3,27.3,22.9,88.2,26.0,3.3,,2.5144
1981-06-25,24.6,23.2,26.4,22.7,89.1,21.3,2.9,,2.6701
1981-06-26,24.5,23.5,26.0,22.7,89.6,6.4,2.9,,2.5474
1981-06-27,24.6,23.0,27.1,22.4,87.2,4.3,2.1,,2.087
1981-06-28,24.6,22.4,26.9,21.7,83.9,0.1,1.6,,2.4825
1981-06-29,25.0,22.8,27.3,22.4,85.6,0.2,1.8,,2.3642
1981-06-30,25.7,23.1,28.5,23.3,86.4,0.6,2.4,,2.5958
1981-07-01,25.6,23.8,28.0,23.5,88.1,0.4,2.5,,2.3883
1981-07-02,25.6,24.0,28.5,23.4,87.5,0.3,2.4,,2.3864
1981-07-03,26.0,23.9,28.4,23.9,88.4,0.2,2.8,,2.7633
1981-07-04,26.1,24.6,28.3,24.2,89.4,0.6,3.0,,2.563
1981-07-05,26.1,24.8,28.0,24.3,90.0,20.9,3.2,,2.2907
1981-07-06,25.8,24.6,27.1,24.6,93.0,75.6,3.0,,1.6915
1981-07-07,25.9,25.0,27.1,24.5,91.8,14.9,3.5,,2.013
1981-07-08,26.0,24.9,27.6,24.5,91.2,9.4,3.6,,2.4818
1981-07-09,26.0,24.9,27.7,24.4,91.0,5.1,3.5,,2.1247
1981-07-10,25.8,25.0,27.0,24.6,92.7,6.8,3.1,,2.4315
1981-07-11,25.5,24.3,26.7,24.4,93.6,18.8,2.7,,1.764
1981-07-12,25.0,23.7,26.5,23.4,90.8,6.6,2.7,,2.1019
1981-07-13,25.1,23.5,27.0,23.3,90.1,14.0,3.0,,1.9412
1981-07-14,24.9,23.1,27.3,22.8,88.5,4.8,1.9,,2.7632
1981-07-15,24.7,23.6,26.2,23.5,93.1,1.6,2.6,,2.7124
1981-07-16,25.3,23.7,27.2,23.8,91.8,5.6,2.1,,2.5111
1981-07-17,25.4,23.8,27.8,23.9,91.3,27.1,2.3,,2.6497
1981-07-18,25.8,23.7,28.4,23.7,88.8,17.7,2.8,,2.2938
1981-07-19,25.6,23.8,27.9,23.6,89.2,7.2,2.9,,2.4347
1981-07-20,25.4,23.6,27.8,23.7,90.2,6.8,2.8,,2.5508
1981-07-21,25.1,23.9,26.9,23.6,91.2,7.5,3.7,,2.391
1981-07-22,24.6,23.7,26.0,23.2,91.7,6.7,3.8,,2.2835
1981-07-23,25.1,24.3,26.3,23.8,92.9,54.6,3.9,,1.8978
1981-07-24,25.0,23.9,26.5,23.5,91.0,47.4,3.6,,2.3076
1981-07-25,25.0,23.9,26.4,23.7,92.6,13.6,3.0,,2.56
1981-07-26,25.0,23.5,27.0,23.3,90.3,10.0,3.8,,2.4064
1981-07-27,25.1,23.4,27.2,23.5,90.8,44.3,3.3,,2.704
1981-07-28,25.0,23.9,26.7,23.6,91.8,18.6,3.8,,1.6445
1981-07-29,25.2,23.6,27.4,23.6,91.1,8.1,2.9,,2.0834
1981-07-30,25.0,23.5,27.2,23.4,91.2,3.9,3.1,,1.759
1981-07-31,24.8,23.4,26.7,23.5,92.3,10.6,3.3,,1.6095
1981-08-01,24.9,23.7,26.8,23.4,91.0,13.2,3.6,,2.7292
1981-08-02,25.0,23.7,26.8,23.3,90.2,52.5,3.8,,2.4728
1981-08-03,25.0,22.8,27.6,23.2,89.6,6.4,2.6,,2.2457
1981-08-04,25.5,24.0,27.6,23.9,90.8,5.0,3.4,,1.9852
1981-08-05,25.5,24.0,27.5,23.5,89.1,3.2,3.8,,2.0441
1981-08-06,25.7,23.8,28.2,23.9,90.1,0.8,3.5,,2.1895
1981-08-07,25.7,23.9,28.1,23.8,89.3,1.3,3.6,,2.2823
1981-08-08,25.8,24.1,28.1,23.9,89.6,1.8,3.7,,2.4996
1981-08-09,25.8,24.5,27.9,24.3,91.4,15.0,3.2,,2.2665
1981-08-10,25.6,24.2,27.7,24.2,91.5,23.0,2.7,,2.3607
1981-08-11,25.6,23.8,28.1,23.9,90.3,30.6,2.2,,1.9513
1981-08-12,25.5,23.9,27.7,24.0,91.6,2.9,2.3,,2.069
1981-08-13,25.3,23.8,27.4,24.1,92.8,2.4,2.4,,2.4558
1981-08-14,25.4,23.9,27.7,24.0,91.8,3.8,2.6,,2.2832
1981-08-15,25.3,23.3,27.9,23.6,90.4,10.4,2.7,,2.4706
1981-08-16,25.0,23.7,26.9,23.3,90.3,22.1,2.2,,2.1531
1981-08-17,25.0,23.5,27.2,23.1,89.2,36.4,2.3,,2.3758
1981-08-18,25.1,23.1,27.6,22.9,88.2,40.4,3.1,,1.7205
1981-08-19,24.8,23.6,26.4,23.4,92.0,65.6,3.2,,2.309
1981-08-20,25.1,23.4,27.2,23.3,89.8,38.2,3.2,,2.0987
1981-08-21,25.3,23.6,27.5,23.7,90.7,10.4,3.1,,2.6832
1981-08-22,25.2,24.2,26.9,24.1,93.2,14.2,2.8,,2.0724
1981-08-23,25.1,23.1,27.4,23.4,90.5,13.2,2.5,,2.4148
1981-08-24,24.6,22.6,27.0,22.5,88.1,7.1,2.5,,3.0134
1981-08-25,25.0,23.0,27.4,23.2,89.9,3.8,2.1,,2.5492
1981-08-26,25.3,23.3,28.0,23.7,90.6,3.2,2.4,,2.6063
1981-08-27,24.8,23.6,26.3,23.4,91.9,1.0,2.5,,2.5886
1981-08-28,24.4,23.0,25.9,23.2,92.8,6.2,2.5,,2.5043
1981-08-29,25.0,23.3,27.4,23.2,90.0,4.8,2.9,,1.947
1981-08-30,24.5,22.9,26.3,22.9,91.0,6.8,2.7,,2.1186
1981-08-31,24.6,22.4,27.6,22.7,89.2,1.8,2.2,,2.4595
1981-09-01,25.3,23.7,27.9,23.5,89.8,1.3,2.6,,2.4781
1981-09-02,24.8,23.3,27.0,22.9,89.8,6.9,2.2,,2.3956
1981-09-03,25.2,23.0,28.2,23.2,88.8,2.2,2.3,,2.4788
1981-09-04,24.9,23.3,27.2,23.0,89.2,2.6,1.9,,2.4365
1981-09-05,25.1,23.6,27.4,23.1,88.9,11.1,1.8,,2.6134
1981-09-06,24.8,22.7,27.5,22.8,88.6,10.8,2.2,,2.331
1981-09-07,25.0,23.2,27.4,23.0,88.8,12.5,1.9,,2.2705
1981-09-08,24.7,23.4,26.7,23.3,92.1,19.0,2.2,,2.3363
1981-09-09,24.9,23.1,27.2,23.5,91.7,12.1,2.4,,1.9373
1981-09-10,24.6,23.4,26.6,23.3,92.1,12.4,2.6,,2.4633
1981-09-11,24.7,23.3,26.4,23.4,92.5,25.5,2.2,,2.579
1981-09-12,24.8,23.5,26.6,23.4,92.4,24.2,1.7,,2.3916
1981-09-13,24.7,23.2,27.0,23.1,90.8,24.2,1.3,,2.3987
1981-09-14,24.5,23.0,26.7,23.1,92.0,11.2,1.9,,2.3912
1981-09-15,24.5,23.5,26.2,23.3,93.1,15.9,2.1,,2.3432
1981-09-16,24.6,23.2,26.7,23.2,91.9,13.3,1.7,,2.438
1981-09-17,24.9,23.4,26.7,23.4,91.4,16.1,1.9,,2.4368
1981-09-18,24.7,23.6,26.2,23.5,92.6,27.8,2.7,,2.198
1981-09-19,25.2,23.5,27.1,24.2,93.7,25.4,2.6,,1.6011
1981-09-20,25.6,24.3,27.5,24.4,93.0,26.3,2.7,,1.7655
1981-09-21,25.6,24.7,27.0,24.6,94.0,16.2,3.2,,1.7745
1981-09-22,25.7,24.4,27.6,24.3,92.1,11.0,2.6,,1.7611
1981-09-23,25.8,24.5,27.8,24.4,92.1,11.7,2.7,,2.0669
1981-09-24,25.8,23.9,28.4,24.0,90.1,5.7,2.7,,2.1292
1981-09-25,25.7,24.0,28.0,24.1,90.7,3.8,2.5,,2.2867
1981-09-26,25.8,23.9,28.3,23.9,89.6,1.6,2.3,,2.3004
1981-09-27,25.6,23.8,28.1,23.7,89.4,1.2,2.5,,2.4906
1981-09-28,25.5,23.4,28.3,23.5,88.6,2.8,2.2,,2.6615
1981-09-29,25.5,23.4,28.3,23.5,88.9,0.2,1.9,,2.627
1981-09-30,25.6,23.6,28.4,23.6,89.2,0.0,2.1,,2.6695
1981-10-01,25.7,23.7,28.4,23.7,88.9,0.5,2.3,,2.5718
1981-10-02,25.4,23.1,28.4,23.4,89.1,1.4,1.9,,2.1575
1981-10-03,25.7,23.3,28.6,23.5,88.1,0.3,2.0,,2.5401
1981-10-04,25.6,24.0,27.7,23.8,89.9,3.5,1.7,,2.3579
1981-10-05,25.3,24.0,27.0,23.6,90.7,3.1,1.8,,1.9924
1981-10-06,25.1,23.3,28.0,22.0,83.3,6.1,2.0,,2.3918
1981-10-07,24.6,21.9,28.2,20.9,80.0,1.1,1.9,,2.3749
1981-10-08,24.2,21.8,27.5,21.1,83.2,1.4,1.5,,2.7104
1981-10-09,25.0,22.4,28.5,21.6,81.6,7.4,1.7,,2.4903
1981-10-10,25.1,22.8,28.3,22.2,84.3,8.5,1.6,,2.9845
1981-10-11,25.1,23.3,27.7,22.8,87.4,14.9,2.2,,2.247
1981-10-12,25.1,22.8,27.4,23.1,89.2,2.9,2.4,,2.7496
1981-10-13,25.2,24.2,26.3,24.1,93.8,3.2,1.5,,2.7274
1981-10-14,25.8,23.6,29.2,23.6,88.2,0.6,1.8,,2.7038
1981-10-15,25.4,24.0,27.7,23.2,88.0,2.0,2.0,,2.4528
1981-10-16,25.6,23.4,28.4,23.0,85.6,0.3,1.8,,2.3931
1981-10-17,25.7,23.9,28.5,23.0,85.5,1.5,1.8,,2.4613
1981-10-18,25.6,23.6,28.6,23.3,87.3,10.2,2.0,,2.259
1981-10-19,25.8,23.9,28.3,23.6,88.1,5.6,1.3,,2.4856
1981-10-20,25.2,23.8,26.8,23.5,90.0,5.6,0.9,,2.6657
1981-10-21,26.0,22.8,29.8,22.3,80.8,3.2,1.0,,2.6188
1981-10-22,25.9,24.2,28.5,23.4,86.0,1.5,1.4,,2.5728
1981-10-23,25.5,24.3,26.9,23.4,88.6,3.2,1.0,,2.6178
1981-10-24,25.8,23.3,29.0,23.0,85.1,6.3,0.9,,2.7299
1981-10-25,25.5,23.1,28.3,23.4,88.1,21.0,1.8,,2.6238
1981-10-26,25.9,23.3,28.6,22.8,83.3,9.1,1.3,,2.579
1981-10-27,25.7,23.3,28.7,23.1,86.0,16.7,1.5,,2.3216
1981-10-28,25.2,24.3,27.0,23.7,91.4,15.7,1.8,,2.3234
1981-10-29,25.2,24.0,27.0,23.9,92.6,35.9,2.3,,2.5191
1981-10-30,25.5,23.7,27.6,23.9,91.0,33.0,2.4,,2.1814
1981-10-31,25.7,24.2,27.9,23.9,90.1,22.4,2.0,,2.446
1981-11-01,25.4,24.0,27.7,23.8,90.8,22.0,1.4,,2.3339
1981-11-02,24.7,23.3,26.8,22.6,88.2,8.9,1.2,,1.6953
1981-11-03,25.2,23.2,28.1,22.6,85.5,0.2,1.4,,2.0991
1981-11-04,25.6,23.5,28.5,23.0,85.9,0.5,1.8,,2.3939
1981-11-05,25.7,23.5,28.4,23.7,88.6,2.6,2.5,,2.5565
1981-11-06,25.7,24.9,27.0,24.6,93.6,3.7,2.9,,2.1209
1981-11-07,26.3,24.7,28.8,24.4,89.1,16.1,1.4,,2.4864
1981-11-08,26.0,24.6,28.4,24.3,90.4,14.7,2.0,,2.3668
1981-11-09,25.6,24.3,27.4,24.2,91.6,17.6,2.0,,2.2142
1981-11-10,26.2,23.3,29.2,23.0,82.9,14.7,1.2,,2.6237
1981-11-11,25.3,23.8,27.3,22.9,86.2,11.9,1.2,,2.4721
1981-11-12,25.8,23.3,28.7,22.5,82.3,10.9,0.9,,2.552
1981-11-13,25.9,22.5,29.5,22.0,79.3,0.2,0.8,,3.2162
1981-11-14,25.0,20.8,28.8,20.7,78.1,0.0,1.8,,3.2845
1981-11-15,25.9,22.4,29.7,22.3,81.2,3.3,1.4,,3.0397
1981-11-16,26.0,23.2,29.2,22.3,80.6,1.7,1.6,,2.7989
1981-11-17,24.6,23.2,25.8,21.6,83.6,0.2,1.4,,2.6753
1981-11-18,24.4,22.6,26.6,21.9,85.8,3.6,1.2,,2.3091
1981-11-19,25.3,23.5,28.0,22.5,84.5,0.3,1.3,,2.5415
1981-11-20,25.4,22.3,28.4,20.3,74.5,0.0,1.2,,2.5074
1981-11-21,24.6,20.8,28.5,19.4,73.1,0.0,1.3,,2.2897
1981-11-22,24.5,20.4,28.2,19.0,72.3,0.0,1.0,,2.7406
1981-11-23,24.1,20.2,28.2,19.5,75.9,0.0,1.2,,2.3878
1981-11-24,24.6,20.9,28.4,21.2,81.8,0.2,1.2,,2.6246
1981-11-25,25.3,22.7,28.4,22.3,83.8,2.6,1.6,,2.0988
1981-11-26,25.4,21.8,29.1,20.8,77.1,1.1,1.4,,2.7846
1981-11-27,24.4,20.5,27.9,19.8,76.1,0.2,1.3,,2.9278
1981-11-28,24.5,21.9,27.5,20.6,79.4,0.3,1.3,,1.6961
1981-11-29,24.2,22.2,26.1,21.6,85.6,3.1,1.2,,2.7892
1981-11-30,25.9,23.0,29.3,22.7,83.1,5.2,1.6,,3.0738
1981-12-01,25.2,22.8,28.0,22.6,85.3,2.5,2.0,,2.8228
1981-12-02,25.6,22.4,29.4,22.3,82.4,8.1,2.0,,3.0445
1981-12-03,25.8,22.3,29.7,22.3,81.9,5.5,1.4,,2.8803
1981-12-04,25.7,22.4,29.4,22.0,80.8,1.9,1.3,,2.6445
